user_id,session_id,app_name,event_type,user,week,hour_part
0,2,Google,Closed,0,0,1
0,2,Instagram,Closed,0,0,1
0,3,Google Chrome,Closed,0,0,1
0,3,Google Chrome,Closed,0,0,1
0,4,Google Chrome,Closed,0,0,1
0,4,Google Chrome,Closed,0,0,1
0,5,Google Chrome,Closed,0,0,2
0,5,Google Chrome,Closed,0,0,2
0,6,Google Chrome,Closed,0,0,2
0,6,Google Chrome,Closed,0,0,2
0,7,Google Chrome,Closed,0,0,2
0,7,Google Chrome,Closed,0,0,2
0,10,Google Chrome,Closed,0,0,2
0,10,Google Chrome,Closed,0,0,2
0,11,Google Chrome,Closed,0,0,3
0,12,Google Chrome,Closed,0,0,3
0,13,Google Chrome,Closed,0,0,3
0,13,Google Chrome,Closed,0,0,3
0,14,Google Chrome,Closed,0,0,3
0,15,Google Chrome,Closed,0,0,3
0,16,Google Chrome,Closed,0,0,3
0,18,Google Chrome,Closed,0,0,3
0,19,Google Chrome,Closed,0,0,3
0,20,Google,Closed,0,0,3
0,21,Google,Closed,0,0,4
0,22,Google,Closed,0,0,4
0,22,Google,Closed,0,0,4
0,23,Google,Closed,0,0,4
0,24,Google,Closed,0,0,4
0,24,Google,Closed,0,0,4
0,25,Google,Closed,0,0,4
0,27,Google,Closed,0,0,5
0,27,Google,Closed,0,0,5
0,28,Google,Closed,0,0,5
0,29,Google,Closed,0,0,5
0,31,Gmail,Closed,0,0,5
0,31,Gmail,Closed,0,0,5
0,31,Gmail,Closed,0,0,5
0,31,Gmail,Closed,0,0,5
0,31,Google,Closed,0,0,5
0,31,Google Chrome,Closed,0,0,5
0,31,Google,Closed,0,0,5
0,31,Google,Closed,0,0,5
0,31,Google,Closed,0,0,5
0,31,Google Chrome,Closed,0,0,5
0,32,Google Chrome,Closed,0,0,5
0,32,Google,Closed,0,0,5
0,41,Google,Closed,0,0,1
0,41,Google,Closed,0,0,1
0,41,Instagram,Closed,0,0,1
0,41,Google,Closed,0,0,1
0,43,Google,Closed,0,0,5
0,44,Gmail,Closed,0,0,5
0,44,Gmail,Closed,0,0,5
0,44,Google,Closed,0,0,5
0,44,Google Chrome,Closed,0,0,5
0,44,Google Chrome,Closed,0,0,5
0,44,Google,Closed,0,0,5
0,44,Google,Closed,0,0,5
0,44,Google,Closed,0,0,5
0,44,Google Chrome,Closed,0,0,5
0,44,Google Chrome,Closed,0,0,5
0,44,Google,Closed,0,0,5
0,44,Google,Closed,0,0,5
0,44,Google,Closed,0,0,5
0,46,Google,Closed,0,0,5
0,48,Google,Closed,0,0,0
0,50,Google,Closed,0,0,0
0,51,Google Chrome,Closed,0,0,0
0,51,Google Chrome,Closed,0,0,0
0,51,Google Chrome,Closed,0,0,0
0,54,Google Chrome,Closed,0,0,1
0,55,Google Chrome,Closed,0,0,1
0,55,Google,Closed,0,0,1
0,55,Google Chrome,Closed,0,0,1
0,55,Google,Closed,0,0,1
0,55,Google Chrome,Closed,0,0,1
0,55,Amazon Shopping,Closed,0,0,1
0,56,Google Chrome,Closed,0,0,1
0,57,Google,Closed,0,0,1
0,71,Google,Closed,0,0,3
0,71,Google,Closed,0,0,3
0,72,Google,Closed,0,0,3
0,74,Google,Closed,0,0,3
0,74,Google Chrome,Closed,0,0,3
0,74,Google Chrome,Closed,0,0,3
0,74,Google Chrome,Closed,0,0,3
0,74,Google,Closed,0,0,3
0,81,Google,Closed,0,0,3
0,83,Instagram,Closed,0,0,4
0,84,Instagram,Closed,0,0,4
0,85,Instagram,Closed,0,0,4
0,86,Instagram,Closed,0,0,4
0,87,Instagram,Closed,0,0,4
0,87,Instagram,Closed,0,0,4
0,87,Google,Closed,0,0,4
0,87,Google,Closed,0,0,4
0,87,Google Play Store,Closed,0,0,4
0,88,Google Play Store,Closed,0,0,4
0,88,Google,Closed,0,0,4
0,88,Google,Closed,0,0,4
0,88,Google Chrome,Closed,0,0,4
0,89,Google Chrome,Closed,0,0,4
0,89,Google,Closed,0,0,4
0,91,Google,Closed,0,0,4
0,91,Google,Closed,0,0,4
0,92,Google,Closed,0,0,4
0,92,Google,Closed,0,0,4
0,92,Google Chrome,Closed,0,0,4
0,93,Google Chrome,Closed,0,0,4
0,94,Google Chrome,Closed,0,0,4
0,94,Google Chrome,Closed,0,0,4
0,95,Google Chrome,Closed,0,0,4
0,95,Google Chrome,Closed,0,0,4
0,95,Google,Closed,0,0,4
0,95,Google Play Store,Closed,0,0,4
0,95,Google Play Store,Closed,0,0,4
0,106,Google,Closed,0,0,3
0,107,Google,Closed,0,0,3
0,108,Google,Closed,0,0,3
0,109,Google,Closed,0,0,3
0,109,Gmail,Closed,0,0,3
0,109,Google Chrome,Closed,0,0,3
0,109,Gmail,Closed,0,0,3
0,109,Google,Closed,0,0,3
0,109,Google,Closed,0,0,3
0,109,Facebook Messenger,Closed,0,0,3
0,109,Facebook Messenger,Closed,0,0,3
0,109,Google,Closed,0,0,3
0,109,Instagram,Closed,0,0,3
0,110,Instagram,Closed,0,0,3
0,110,Gmail,Closed,0,0,3
0,110,Gmail,Closed,0,0,3
0,110,Gmail,Closed,0,0,3
0,111,Gmail,Closed,0,0,3
0,112,Google,Closed,0,0,3
0,114,Google,Closed,0,0,3
0,114,Gmail,Closed,0,0,3
0,115,Gmail,Closed,0,0,4
0,116,Gmail,Closed,0,0,4
0,116,Gmail,Closed,0,0,4
0,116,Google,Closed,0,0,4
0,117,Google,Closed,0,0,4
0,119,Google,Closed,0,0,4
0,119,Facebook Messenger,Closed,0,0,4
0,119,Google,Closed,0,0,4
0,119,Facebook Messenger,Closed,0,0,4
0,120,Facebook Messenger,Closed,0,0,4
0,120,Google,Closed,0,0,4
0,120,Google Chrome,Closed,0,0,4
0,121,Google Chrome,Closed,0,0,4
0,122,Google Chrome,Closed,0,0,4
0,122,Google Chrome,Closed,0,0,4
0,124,Google Chrome,Closed,0,0,5
0,124,Google Chrome,Closed,0,0,5
0,125,Google,Closed,0,0,5
0,125,Google Chrome,Closed,0,0,5
0,126,Google Chrome,Closed,0,0,5
0,127,Google Chrome,Closed,0,0,5
0,127,Google Chrome,Closed,0,0,5
0,127,Google Chrome,Closed,0,0,5
0,127,Google Chrome,Closed,0,0,5
0,127,Google Chrome,Closed,0,0,5
0,127,Google Chrome,Closed,0,0,5
0,128,Google Chrome,Closed,0,0,5
0,128,Google,Closed,0,0,5
0,128,Google,Closed,0,0,5
0,128,Google,Closed,0,0,5
0,128,Google Chrome,Closed,0,0,5
0,129,Google Chrome,Closed,0,0,5
0,129,Google,Closed,0,0,5
0,129,Google Chrome,Closed,0,0,5
0,129,Google Chrome,Closed,0,0,5
0,129,Google,Closed,0,0,5
0,129,Instagram,Closed,0,0,5
0,129,Instagram,Closed,0,0,5
0,129,Instagram,Closed,0,0,5
0,129,Google,Closed,0,0,5
0,129,Google,Closed,0,0,5
0,129,Google Chrome,Closed,0,0,5
0,129,Google Chrome,Closed,0,0,5
0,129,Google Chrome,Closed,0,0,5
0,129,Google Chrome,Closed,0,0,5
0,129,Google Chrome,Closed,0,0,5
0,129,Google,Closed,0,0,5
0,129,Google,Closed,0,0,5
0,129,Google Chrome,Closed,0,0,5
0,129,Google,Closed,0,0,5
0,129,Google Chrome,Closed,0,0,5
0,129,Google Chrome,Closed,0,0,5
0,129,Google Chrome,Closed,0,0,5
0,129,Google Chrome,Closed,0,0,5
0,129,Google Chrome,Closed,0,0,5
0,129,Google Chrome,Closed,0,0,5
0,130,Google Chrome,Closed,0,0,5
0,130,Google,Closed,0,0,5
0,130,Google,Closed,0,0,5
0,133,Google,Closed,0,0,0
0,133,Google,Closed,0,0,1
0,134,Google,Closed,0,0,1
0,134,Google,Closed,0,0,1
0,134,Google Chrome,Closed,0,0,1
0,145,Google,Closed,0,0,3
0,145,Google,Closed,0,0,3
0,145,Google,Closed,0,0,3
0,146,Google Chrome,Closed,0,0,3
0,147,Google Chrome,Closed,0,0,3
0,147,Google Chrome,Closed,0,0,3
0,148,Google Chrome,Closed,0,0,3
0,149,Google Chrome,Closed,0,0,3
0,149,Google,Closed,0,0,3
0,149,Google,Closed,0,0,3
0,149,Instagram,Closed,0,0,3
0,149,Instagram,Closed,0,0,3
0,149,Google,Closed,0,0,3
0,149,Google,Closed,0,0,3
0,149,Google Chrome,Closed,0,0,3
